<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTCUSD;D;20131006;000000;122.0000000;122.0000000;122.0000000;122.0000000;0
BTCUSD;D;20131007;000000;123.6100000;123.6100000;123.6100000;123.6100000;0
BTCUSD;D;20131008;000000;123.9100000;124.1900000;123.9000000;124.1800000;4
BTCUSD;D;20131009;000000;124.0168700;124.0168700;123.8400000;123.8400000;3
BTCUSD;D;20131010;000000;125.8500000;125.8600000;125.8500000;125.8600000;2
BTCUSD;D;20131012;000000;127.5000000;127.5000000;127.0000000;127.0000000;4
BTCUSD;D;20131013;000000;131.8408000;131.8408000;131.8408000;131.8408000;0
BTCUSD;D;20131014;000000;134.8000000;135.5900000;133.3672600;135.5900000;12
BTCUSD;D;20131015;000000;135.8000000;153.0000000;133.8797500;133.8797500;4
BTCUSD;D;20131016;000000;143.0000000;146.1400000;137.6375800;138.0900000;20
BTCUSD;D;20131017;000000;137.6244800;144.7300000;137.5200000;143.7952200;6
BTCUSD;D;20131018;000000;146.2399000;153.8014700;146.2399000;149.0485600;24
BTCUSD;D;20131019;000000;157.7400000;171.2500000;157.6400000;165.5600000;73
BTCUSD;D;20131020;000000;166.5262600;166.5262600;162.9810000;162.9810000;5
BTCUSD;D;20131021;000000;165.0000000;176.6527700;165.0000000;176.3242900;18
BTCUSD;D;20131022;000000;181.9700000;194.2000000;150.0000000;150.0000000;7
BTCUSD;D;20131023;000000;191.6219800;203.4500000;185.9028700;203.4500000;39
BTCUSD;D;20131024;000000;203.6741200;207.3024600;169.9201000;193.0999000;84
BTCUSD;D;20131025;000000;172.2700000;186.8000000;171.9700000;186.0499000;67
BTCUSD;D;20131026;000000;185.8000000;185.8000000;179.8656000;184.5800000;11
BTCUSD;D;20131027;000000;182.3000000;191.3000000;179.2362400;191.0000000;70
BTCUSD;D;20131029;000000;195.0000000;195.0000000;195.0000000;195.0000000;1
BTCUSD;D;20131030;000000;195.0000000;203.9400000;195.0000000;203.7700000;10
BTCUSD;D;20131031;000000;199.0000000;202.2700000;199.0000000;202.1000000;2
BTCUSD;D;20131101;000000;203.5999900;207.9682200;202.9000000;202.9000000;34
BTCUSD;D;20131102;000000;202.6800000;204.2400000;201.0400000;203.5100000;7
BTCUSD;D;20131103;000000;204.6620000;209.7480000;203.4700000;209.7480000;10
