"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2023","104.26","103.62","104.29","103.27","","0.62%"
"08/31/2023","103.62","103.10","103.74","103.01","","0.45%"
"08/30/2023","103.16","103.44","103.70","102.94","","-0.36%"
"08/29/2023","103.53","103.92","104.36","103.36","","-0.51%"
"08/28/2023","104.06","104.19","104.21","103.97","","-0.02%"
"08/25/2023","104.08","104.10","104.45","103.74","","0.09%"
"08/24/2023","103.98","103.36","104.03","103.27","","0.54%"
"08/23/2023","103.42","103.58","103.98","103.30","","-0.14%"
"08/22/2023","103.56","103.33","103.72","103.01","","0.25%"
"08/21/2023","103.30","103.43","103.50","103.14","","-0.07%"
"08/18/2023","103.38","103.40","103.68","103.22","","-0.19%"
"08/17/2023","103.57","103.47","103.60","103.06","","0.14%"
"08/16/2023","103.43","103.21","103.53","102.94","","0.22%"
"08/15/2023","103.21","103.21","103.28","103.15","","0.02%"
"08/14/2023","103.19","102.85","103.46","102.77","","0.34%"
"08/11/2023","102.84","102.62","102.91","102.42","","0.31%"
"08/10/2023","102.52","102.48","102.65","101.78","","0.03%"
"08/09/2023","102.49","102.55","102.58","102.29","","-0.04%"
"08/08/2023","102.53","102.07","102.80","102.07","","0.47%"
"08/07/2023","102.05","101.99","102.38","101.97","","0.03%"
"08/04/2023","102.02","102.45","102.62","101.74","","-0.51%"
"08/03/2023","102.54","102.59","102.84","102.36","","-0.05%"
